unemployment,dollar,yuan,inflation,oil,key_rate,year
10.6,27.75,3.351,1.32,33.98,28.0,2000
10.6,27.75,3.351,1.32,34.46,28.0,2000
10.6,27.75,3.351,1.32,33.63,28.0,2000
10.6,27.75,3.351,1.32,33.74,28.0,2000
10.6,27.75,3.351,1.32,32.73,28.0,2000
10.6,27.75,3.351,1.32,31.25,28.0,2000
10.6,27.75,3.351,1.32,31.25,28.0,2000
10.6,27.75,3.351,1.32,31.25,28.0,2000
10.6,27.75,3.351,1.32,30.24,28.0,2000
10.6,27.75,3.351,1.32,30.42,28.0,2000
10.6,27.75,3.351,1.32,30.54,28.0,2000
10.6,27.75,3.351,1.32,29.26,28.0,2000
10.6,27.75,3.351,1.32,29.84,28.0,2000
10.6,27.75,3.351,1.32,29.84,28.0,2000
10.6,27.75,3.351,2.11,29.84,28.0,2000
10.6,27.75,3.351,2.11,31.08,28.0,2000
10.6,27.75,3.351,2.11,31.05,28.0,2000
10.6,27.75,3.351,2.11,30.52,28.0,2000
10.6,27.75,3.351,2.11,29.89,28.0,2000
10.6,27.75,3.351,2.11,30.1,28.0,2000
10.6,27.75,3.351,2.11,30.1,28.0,2000
10.6,27.75,3.351,2.11,30.1,28.0,2000
10.6,27.75,3.351,2.11,30.76,28.0,2000
10.6,27.75,3.351,2.11,31.85,28.0,2000
10.6,27.75,3.351,2.11,31.79,28.0,2000
10.6,27.75,3.351,2.11,34.59,28.0,2000
10.6,27.75,3.351,2.11,32.52,28.0,2000
10.6,27.75,3.351,2.11,32.52,28.0,2000
10.6,27.75,3.351,2.11,32.52,28.0,2000
10.6,27.75,3.351,2.11,31.9,28.0,2000
10.6,27.75,3.351,2.11,31.13,28.0,2000
10.6,27.75,3.351,2.11,31.1,28.0,2000
10.6,27.75,3.351,2.11,30.74,28.0,2000
10.6,27.75,3.351,2.11,31.62,28.0,2000
10.6,27.75,3.351,2.11,31.62,28.0,2000
10.6,27.75,3.351,2.11,31.62,28.0,2000
10.6,27.75,3.351,2.11,32.09,28.0,2000
10.6,27.75,3.351,2.11,31.59,28.0,2000
10.6,27.75,3.351,2.11,31.36,28.0,2000
10.6,27.75,3.351,2.11,31.96,28.0,2000
10.6,27.75,3.351,2.11,30.95,28.0,2000
10.6,27.75,3.351,2.11,30.95,28.0,2000
10.6,27.75,3.351,2.11,30.95,28.0,2000
10.6,27.75,3.351,2.11,31.14,28.0,2000
10.6,27.75,3.351,2.11,30.76,28.0,2000
10.6,27.82,3.362,1.52,31.31,28.0,2000
10.6,27.82,3.362,1.52,30.78,28.0,2000
10.6,27.82,3.362,1.52,30.85,28.0,2000
10.6,27.82,3.362,1.52,30.85,25.0,2000
10.6,27.82,3.362,1.52,30.85,25.0,2000
10.6,27.82,3.362,1.52,31.29,25.0,2000
10.6,27.82,3.362,1.52,31.68,25.0,2000
10.6,27.82,3.362,1.52,31.32,25.0,2000
10.6,27.82,3.362,1.52,32.16,25.0,2000
10.6,27.82,3.362,1.52,32.02,25.0,2000
10.6,27.82,3.362,1.52,32.02,25.0,2000
10.6,27.82,3.362,1.52,32.02,25.0,2000
10.6,27.82,3.362,1.52,32.94,25.0,2000
10.6,27.82,3.362,1.52,32.69,25.0,2000
10.6,27.82,3.362,1.52,33.9,25.0,2000
10.6,27.82,3.362,1.52,32.77,25.0,2000
10.6,27.82,3.362,1.52,33.08,25.0,2000
10.6,27.82,3.362,1.52,33.08,25.0,2000
10.6,27.82,3.362,1.52,33.08,25.0,2000
10.6,27.82,3.362,1.52,33.07,25.0,2000
10.6,27.82,3.362,1.52,33.1,25.0,2000
10.6,27.82,3.362,1.52,33.24,25.0,2000
10.6,27.82,3.362,1.52,33.28,25.0,2000
10.6,27.82,3.362,1.52,33.12,25.0,2000
10.6,27.82,3.362,1.52,33.12,25.0,2000
10.6,27.82,3.362,1.52,33.12,25.0,2000
10.6,27.82,3.362,1.52,33.06,25.0,2000
10.6,27.82,3.362,1.52,32.19,25.0,2000
10.6,27.82,3.362,1.52,32.68,25.0,2000
10.6,27.82,3.362,1.52,31.88,25.0,2000
10.6,27.89,3.364,1.64,30.17,25.0,2000
10.6,27.89,3.364,1.64,30.17,25.0,2000
10.6,27.89,3.364,1.64,30.17,25.0,2000
10.6,27.89,3.364,1.64,29.34,25.0,2000
10.6,27.89,3.364,1.64,27.79,25.0,2000
10.6,27.89,3.364,1.64,28.01,25.0,2000
10.6,27.89,3.364,1.64,27.47,25.0,2000
10.6,27.89,3.364,1.64,26.56,25.0,2000
10.6,27.89,3.364,1.64,26.56,25.0,2000
10.6,27.89,3.364,1.64,26.56,25.0,2000
10.6,27.89,3.364,1.64,27.54,25.0,2000
10.6,27.89,3.364,1.64,27.06,25.0,2000
10.6,27.89,3.364,1.64,25.14,25.0,2000
10.6,27.89,3.364,1.64,25.36,25.0,2000
10.6,27.89,3.364,1.64,25.89,25.0,2000
10.6,27.89,3.364,1.64,25.89,25.0,2000
10.6,27.89,3.364,1.64,25.89,25.0,2000
10.6,27.89,3.364,1.64,26.24,25.0,2000
10.6,27.89,3.364,1.64,25.0,25.0,2000
10.6,27.89,3.364,1.64,22.97,25.0,2000
10.6,27.89,3.364,1.64,23.61,25.0,2000
10.6,27.89,3.364,1.64,23.66,25.0,2000
10.6,27.89,3.364,1.64,23.66,25.0,2000
10.6,27.89,3.364,1.64,23.66,25.0,2000
10.6,27.89,3.364,1.64,22.97,25.0,2000
10.6,27.89,3.364,1.64,22.97,25.0,2000
10.6,27.89,3.364,1.64,24.04,25.0,2000
10.6,27.89,3.364,1.64,23.71,25.0,2000
10.6,27.89,3.364,1.64,23.87,25.0,2000
10.6,27.89,3.364,1.64,23.87,25.0,2000
10.6,27.89,3.364,1.64,23.87,25.0,2000
8.9,27.89,3.364,2.76,22.38,25.0,2001
8.9,27.89,3.364,2.76,24.3,25.0,2001
8.9,27.89,3.364,2.76,25.03,25.0,2001
8.9,27.89,3.364,2.76,25.35,25.0,2001
8.9,27.89,3.364,2.76,25.18,25.0,2001
8.9,27.89,3.364,2.76,25.18,25.0,2001
8.9,27.89,3.364,2.76,25.18,25.0,2001
8.9,27.89,3.364,2.76,24.43,25.0,2001
8.9,27.89,3.364,2.76,24.59,25.0,2001
8.9,27.89,3.364,2.76,25.34,25.0,2001
8.9,27.89,3.364,2.76,25.61,25.0,2001
8.9,27.89,3.364,2.76,25.75,25.0,2001
8.9,27.89,3.364,2.76,25.75,25.0,2001
8.9,27.89,3.364,2.76,25.75,25.0,2001
8.9,27.89,3.364,2.76,26.18,25.0,2001
8.9,27.89,3.364,2.76,26.2,25.0,2001
8.9,27.89,3.364,2.76,24.79,25.0,2001
8.9,27.89,3.364,2.76,25.62,25.0,2001
8.9,27.89,3.364,2.76,27.04,25.0,2001
8.9,27.89,3.364,2.76,27.04,25.0,2001
8.9,27.89,3.364,2.76,27.04,25.0,2001
8.9,27.89,3.364,2.76,26.53,25.0,2001
8.9,27.89,3.364,2.76,26.67,25.0,2001
8.9,27.89,3.364,2.76,26.26,25.0,2001
8.9,27.89,3.364,2.76,26.46,25.0,2001
8.9,27.89,3.364,2.76,26.98,25.0,2001
8.9,27.89,3.364,2.76,26.98,25.0,2001
8.9,27.89,3.364,2.76,26.98,25.0,2001
8.9,27.89,3.364,2.76,26.6,25.0,2001
8.9,27.89,3.364,2.76,26.89,25.0,2001
8.9,27.89,3.364,2.76,26.66,25.0,2001
8.9,28.4,3.4270000000000005,2.28,28.1,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.19,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.19,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.19,25.0,2001
8.9,28.4,3.4270000000000005,2.28,28.45,25.0,2001
8.9,28.4,3.4270000000000005,2.28,28.7,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.91,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.84,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.25,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.25,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.25,25.0,2001
8.9,28.4,3.4270000000000005,2.28,29.0,25.0,2001
8.9,28.4,3.4270000000000005,2.28,28.46,25.0,2001
8.9,28.4,3.4270000000000005,2.28,27.28,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.64,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.89,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.89,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.89,25.0,2001
8.9,28.4,3.4270000000000005,2.28,27.31,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.62,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.37,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.46,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.52,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.52,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.52,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.11,25.0,2001
8.9,28.4,3.4270000000000005,2.28,26.02,25.0,2001
8.9,28.4,3.4270000000000005,2.28,25.57,25.0,2001
8.9,28.62,3.47,1.86,25.85,25.0,2001
8.9,28.62,3.47,1.86,26.0,25.0,2001
8.9,28.62,3.47,1.86,26.0,25.0,2001
8.9,28.62,3.47,1.86,26.0,25.0,2001
8.9,28.62,3.47,1.86,26.71,25.0,2001
8.9,28.62,3.47,1.86,26.48,25.0,2001
8.9,28.62,3.47,1.86,27.23,25.0,2001
8.9,28.62,3.47,1.86,26.68,25.0,2001
8.9,28.62,3.47,1.86,26.33,25.0,2001
8.9,28.62,3.47,1.86,26.33,25.0,2001
8.9,28.62,3.47,1.86,26.33,25.0,2001
8.9,28.62,3.47,1.86,25.9,25.0,2001
8.9,28.62,3.47,1.86,25.28,25.0,2001
8.9,28.62,3.47,1.86,23.93,25.0,2001
8.9,28.62,3.47,1.86,24.19,25.0,2001
8.9,28.62,3.47,1.86,25.05,25.0,2001
8.9,28.62,3.47,1.86,25.05,25.0,2001
8.9,28.62,3.47,1.86,25.05,25.0,2001
8.9,28.62,3.47,1.86,24.81,25.0,2001
8.9,28.62,3.47,1.86,24.62,25.0,2001
8.9,28.62,3.47,1.86,25.0,25.0,2001
8.9,28.62,3.47,1.86,24.63,25.0,2001
8.9,28.62,3.47,1.86,25.38,25.0,2001
8.9,28.62,3.47,1.86,25.38,25.0,2001
8.9,28.62,3.47,1.86,25.38,25.0,2001
8.9,28.62,3.47,1.86,25.4,25.0,2001
8.9,28.62,3.47,1.86,25.89,25.0,2001
8.9,28.62,3.47,1.86,25.27,25.0,2001
