nominal,data,curs
1,01.03.2025,"12,0754"
1,28.02.2025,"11,9563"
1,27.02.2025,"11,7370"
1,26.02.2025,"11,8002"
1,25.02.2025,"12,0634"
1,22.02.2025,"12,0430"
1,21.02.2025,"12,1252"
1,20.02.2025,"12,3608"
1,19.02.2025,"12,4167"
1,18.02.2025,"12,4935"
1,15.02.2025,"12,3668"
1,14.02.2025,"12,3356"
1,13.02.2025,"12,7702"
1,12.02.2025,"13,0258"
1,11.02.2025,"13,2421"
1,08.02.2025,"13,2365"
1,07.02.2025,"13,0503"
1,06.02.2025,"13,2490"
1,05.02.2025,"13,2985"
1,04.02.2025,"13,4095"
1,01.02.2025,"13,2638"
1,31.01.2025,"13,3729"
1,30.01.2025,"13,3817"
1,29.01.2025,"13,4568"
1,28.01.2025,"13,3806"
1,25.01.2025,"13,5101"
1,24.01.2025,"13,5786"
1,23.01.2025,"13,5443"
1,22.01.2025,"13,7370"
1,21.01.2025,"13,8302"
1,18.01.2025,"13,9338"
1,17.01.2025,"13,9143"
1,16.01.2025,"13,9197"
1,15.01.2025,"13,9486"
1,14.01.2025,"13,8184"
1,11.01.2025,"13,6866"
1,10.01.2025,"13,6934"
1,29.12.2024,"13,4272"
1,28.12.2024,"13,4434"
1,27.12.2024,"13,4716"
1,26.12.2024,"13,6054"
1,25.12.2024,"13,6624"
1,24.12.2024,"13,8254"
1,21.12.2024,"13,9897"
1,20.12.2024,"14,1860"
1,19.12.2024,"14,0761"
1,18.12.2024,"13,9613"
1,17.12.2024,"13,8603"
1,14.12.2024,"14,0096"
1,13.12.2024,"13,9594"
1,12.12.2024,"13,8539"
1,11.12.2024,"13,6566"
1,10.12.2024,"13,5240"
1,07.12.2024,"13,5970"
1,06.12.2024,"14,1399"
1,05.12.2024,"14,2565"
1,04.12.2024,"14,5545"
1,03.12.2024,"14,6258"
1,30.11.2024,"14,7233"
1,29.11.2024,"14,6653"
1,28.11.2024,"14,8382"
1,27.11.2024,"14,4449"
1,26.11.2024,"14,2057"
1,23.11.2024,"13,9427"
1,22.11.2024,"13,8821"
1,21.11.2024,"13,8224"
