data,dollar,yuan
2025-03-01,882568.0,12.0754
2025-02-28,876967.0,11.9563
2025-02-27,859279.0,11.737
2025-02-26,866318.0,11.8002
2025-02-25,882065.0,12.0634
2025-02-22,881676.0,12.043
2025-02-21,885103.0,12.1252
2025-02-20,904268.0,12.3608
2025-02-19,913398.0,12.4167
2025-02-18,914347.0,12.4935
2025-02-15,903099.0,12.3668
2025-02-14,910313.0,12.3356
2025-02-13,940485.0,12.7702
2025-02-12,958024.0,13.0258
2025-02-11,967821.0,13.2421
2025-02-08,972762.0,13.2365
2025-02-07,969104.0,13.0503
2025-02-06,980556.0,13.249
2025-02-05,985336.0,13.2985
2025-02-04,999433.0,13.4095
2025-02-01,978107.0,13.2638
2025-01-31,980062.0,13.3729
2025-01-30,980126.0,13.3817
2025-01-29,979658.0,13.4568
2025-01-28,971320.0,13.3806
2025-01-25,982636.0,13.5101
2025-01-24,990978.0,13.5786
2025-01-23,982804.0,13.5443
2025-01-22,999282.0,13.737
2025-01-21,1019579.0,13.8302
2025-01-18,1024137.0,13.9338
2025-01-17,1023762.0,13.9143
2025-01-16,1028078.0,13.9197
2025-01-15,1034380.0,13.9486
2025-01-14,1027081.0,13.8184
2025-01-11,1019146.0,13.6866
2025-01-10,1022911.0,13.6934
2024-12-29,1016797.0,13.4272
2024-12-28,1005281.0,13.4434
2024-12-27,992295.0,13.4716
2024-12-26,996125.0,13.6054
2024-12-25,998729.0,13.6624
2024-12-24,1016143.0,13.8254
2024-12-21,1023438.0,13.9897
2024-12-20,1034207.0,14.186
2024-12-19,1027763.0,14.0761
2024-12-18,1029979.0,13.9613
2024-12-17,1029125.0,13.8603
2024-12-14,1034305.0,14.0096
2024-12-13,1039500.0,13.9594
2024-12-12,1032707.0,13.8539
2024-12-11,1000324.0,13.6566
2024-12-10,993759.0,13.524
2024-12-07,994215.0,13.597
2024-12-06,1033837.0,14.1399
2024-12-05,1042361.0,14.2565
2024-12-04,1061878.0,14.5545
2024-12-03,1071758.0,14.6258
2024-11-30,1077409.0,14.7233
2024-11-29,1095782.0,14.6653
2024-11-28,1080104.0,14.8382
2024-11-27,1050604.0,14.4449
2024-11-26,1037908.0,14.2057
2024-11-23,1025761.0,13.9427
2024-11-22,1006798.0,13.8821
2024-11-21,1002192.0,13.8224
2024-11-20,1000348.0,13.7744
2024-11-19,999430.0,13.7597
2024-11-16,999971.0,13.7992
2024-11-15,990180.0,13.6596
2024-11-14,983657.0,13.598
2024-11-13,979559.0,13.4951
2024-11-12,979550.0,13.552
2024-11-09,978335.0,13.594
2024-11-08,980726.0,13.624
2024-11-07,982236.0,13.6395
2024-11-06,980562.0,13.7539
2024-11-03,975499.0,13.6731
2024-11-02,974402.0,13.6394
2024-11-01,970226.0,13.6068
2024-10-31,970530.0,13.5876
2024-10-30,973261.0,13.5954
2024-10-29,972300.0,13.6103
2024-10-26,966657.0,13.5007
2024-10-25,967402.0,13.5348
2024-10-24,966379.0,13.5192
2024-10-23,965918.0,13.5463
2024-10-22,960924.0,13.4733
2024-10-19,964172.0,13.4631
2024-10-18,971490.0,13.5487
2024-10-17,972568.0,13.5917
2024-10-16,970121.0,13.5683
2024-10-15,961021.0,13.4987
2024-10-12,960686.0,13.4752
2024-10-11,972394.0,13.6922
2024-10-10,969483.0,13.6869
2024-10-09,961079.0,13.581
2024-10-08,960649.0,13.5537
2024-10-05,948700.0,13.4127
2024-10-04,950262.0,13.4808
2024-10-03,945054.0,13.3914
2024-10-02,933581.0,13.1959
2024-10-01,932221.0,13.2425
2024-09-28,927126.0,13.2163
2024-09-27,924074.0,13.1451
2024-09-26,923880.0,13.0939
2024-09-25,928622.0,13.216
2024-09-24,929200.0,13.1134
2024-09-21,925848.0,13.0425
2024-09-20,926962.0,13.1028
2024-09-19,916712.0,12.9451
2024-09-18,914292.0,12.9226
2024-09-17,911423.0,12.7762
2024-09-14,909345.0,12.7178
2024-09-13,911096.0,12.7362
2024-09-12,912653.0,12.7173
2024-09-11,911127.0,12.6952
2024-09-10,903853.0,12.6262
2024-09-07,898225.0,12.5387
2024-09-06,897044.0,12.5054
2024-09-05,889288.0,12.5086
2024-09-04,886118.0,12.1106
2024-09-03,900013.0,12.0532
2024-08-31,911868.0,12.0151
2024-08-30,914548.0,11.9057
2024-08-29,914449.0,11.8357
2024-08-28,914807.0,11.7513
2024-08-27,917745.0,11.6863
2024-08-24,916012.0,11.7747
2024-08-23,912881.0,11.9567
2024-08-22,916862.0,12.2114
2024-08-21,906944.0,12.1161
2024-08-20,895428.0,12.1204
2024-08-17,889062.0,12.0542
2024-08-16,887960.0,11.9319
2024-08-15,900055.0,12.0672
2024-08-14,926592.0,12.0233
2024-08-13,899475.0,11.8576
2024-08-10,879920.0,11.8911
2024-08-09,865621.0,11.8664
2024-08-08,859543.0,11.8074
2024-08-07,851646.0,11.789
2024-08-06,849471.0,11.8289
2024-08-03,857024.0,11.8307
2024-08-02,857833.0,11.7918
2024-08-01,861091.0,11.8747
2024-07-31,863300.0,11.8368
2024-07-30,865554.0,11.8567
2024-07-27,855650.0,11.7296
2024-07-26,854100.0,11.7408
2024-07-25,865502.0,11.8263
2024-07-24,872990.0,11.9062
2024-07-23,877805.0,11.974
